scenario,output,t,endpoint,metric.mean,metric.sd,metric.type,id
scn3,pd_output_1,48.0,pd_output_1_048,12.597653881894868,0.9601166522952657,mean_sd,m061
scn3,pd_output_1,72.0,pd_output_1_072,13.152052086609755,0.995141546526935,mean_sd,m062
scn3,pd_output_1,120.0,pd_output_1_120,13.519382172765285,1.0217092183960297,mean_sd,m063
scn4,pd_output_1,0.0,pd_output_1_000,5.012128563922004,0.4901741840622442,mean_sd,m064
scn4,pd_output_1,2.0,pd_output_1_002,10.352289240707949,0.8424280715577512,mean_sd,m065
scn4,pd_output_1,4.0,pd_output_1_004,11.223921744658556,0.8907400887387906,mean_sd,m066
scn4,pd_output_1,8.0,pd_output_1_008,11.919128813265917,0.9236832325915861,mean_sd,m067
scn4,pd_output_1,12.0,pd_output_1_012,12.238020304021237,0.9388785980233165,mean_sd,m068
scn4,pd_output_1,24.0,pd_output_1_024,13.678869941833133,1.0218820898297682,mean_sd,m069
scn4,pd_output_1,48.0,pd_output_1_048,14.376735261830971,1.0706956058619421,mean_sd,m070
scn4,pd_output_1,72.0,pd_output_1_072,14.567348755098465,1.0856172109273652,mean_sd,m071
scn4,pd_output_1,120.0,pd_output_1_120,14.683426174514643,1.0952217489934881,mean_sd,m072
