scenario,endpoint,metric.values,metric.levels,metric.type,id
scn3,drug_c_048,0.5867786181531263;0.6412848648462375;0.6777692197266417;0.7134405655064372;0.7487032741444022;0.7795227374026591;0.815883435786583;0.8673849595386989;0.9443867397741224,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m025
scn3,drug_c_072,0.6066646705881342;0.6649587344422495;0.7060064207933824;0.7440178447989935;0.7848216044747327;0.8179388767890817;0.8595089905043076;0.9151028630852639;1.0035103112920747,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m026
scn3,drug_c_120,0.6159387053164055;0.6761811751559448;0.7183004158111594;0.7586524911412651;0.8020330715855859;0.8360989454091106;0.8798224445356732;0.9387758641641115;1.0333854426310471,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m027
scn4,drug_c_000,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m028
scn4,drug_c_002,3.8920282176275096;4.0609187880721365;4.197603184243745;4.298178119038608;4.3969287392732905;4.514051839220389;4.630905367308962;4.769630193161662;5.005715079631961,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m029
scn4,drug_c_004,2.2867970526308605;2.366351409698323;2.4251270988431837;2.475150184698006;2.51908541923345;2.5711518558114492;2.617506062030544;2.6899420774309624;2.784624409288654,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m030
scn4,drug_c_008,1.5867141092556536;1.6688611789602164;1.7208711194799682;1.763686879841549;1.8108160526740038;1.858889785977366;1.9089566024247078;1.9762997953688237;2.0605821466239242,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m031
scn4,drug_c_012,1.174117738318284;1.2531854633570694;1.3014039683874974;1.3499253272597038;1.3934914654674888;1.4378598420308202;1.4865117964798302;1.55224217611858;1.6439241698273104,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m032
scn4,drug_c_024,1.6573875319032072;1.7869011940177044;1.8774847734461073;1.958507571411316;2.0416882913435557;2.109895083663777;2.1933264860348736;2.306831981639242;2.4932025189975215,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m033
scn4,drug_c_048,1.9559595255349418;2.137647930633446;2.25925637638811;2.378163930195972;2.495703050653943;2.598433604178893;2.7196326731272706;2.8913004590374336;3.1479628259299464,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m034
scn4,drug_c_072,2.0222455562223933;2.2165600789006064;2.3533807298781695;2.4800640851650706;2.616086483592394;2.7264653385599837;2.8650559285995305;3.050347592470706;3.3450364357515783,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m035
scn4,drug_c_120,2.0531593404048585;2.25396764499313;2.3943644386282315;2.528841813594721;2.67346796018402;2.7869966371535897;2.9327461206960646;3.1292530623232864;3.4446182982266866,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m036
scn1,pd_output_1_000,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m037
scn1,pd_output_1_002,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m038
scn1,pd_output_1_004,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m039
scn1,pd_output_1_008,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m040
scn1,pd_output_1_012,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m041
scn1,pd_output_1_024,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m042
scn1,pd_output_1_048,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m043
scn1,pd_output_1_072,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m044
scn1,pd_output_1_120,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m045
scn2,pd_output_1_000,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m046
scn2,pd_output_1_002,5.092900554834518;5.263308571196712;5.40422359756105;5.535737357569168;5.648843311106583;5.790028613720145;5.922245302840436;6.082680859621345;6.316252455787327,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m047
scn2,pd_output_1_004,5.318526455722438;5.522939988018199;5.657573361181605;5.804048501947779;5.909658402163667;6.0543882010456125;6.185418689216845;6.341214537828378;6.599770040504761,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m048
scn2,pd_output_1_008,5.596585526931058;5.79373330920418;5.945656904743046;6.093393529109669;6.220067228953685;6.355199323324241;6.484092044523926;6.6359145389950704;6.900710515876973,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m049
scn2,pd_output_1_012,5.758782464246421;5.9446574115821775;6.120979582979652;6.2657911966521;6.3953555763971135;6.5227670202235375;6.66314176626444;6.8185376169843614;7.0859059034339555,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m050
scn2,pd_output_1_024,7.011686488264212;7.283518183335154;7.478489359126317;7.6648933235069965;7.816844146444689;7.95977718992167;8.130867920939998;8.33683789480295;8.643594658071018,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m051
scn2,pd_output_1_048,8.54910379575986;8.877059602179084;9.110645760204106;9.324165340720842;9.495782924451408;9.700818170185512;9.902863701843257;10.181753140010727;10.5275703319486,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m052
scn2,pd_output_1_072,9.309381745419126;9.650476988332533;9.88035233068037;10.110318889531769;10.302808772571149;10.506806889825405;10.759745738483945;11.037044045107415;11.434130627129552,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m053
scn2,pd_output_1_120,9.86740502566165;10.225089189732373;10.486268264704652;10.705006492249431;10.927136166812414;11.16612297436188;11.42809375042463;11.69215478159806;12.10653936538927,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m054
scn3,pd_output_1_000,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m055
scn3,pd_output_1_002,6.406019192595798;6.648324053898879;6.8065256259466125;6.978861953960148;7.117091718047977;7.261141907263861;7.416646087485105;7.60166610991037;7.8958802552785725,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m056
scn3,pd_output_1_004,6.9869985779586194;7.252912212554407;7.444963101013611;7.614150212387413;7.764518420607841;7.931907433564428;8.114976043719084;8.300322210933622;8.619963893937726,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m057
scn3,pd_output_1_008,7.553462997852444;7.863660442067047;8.072465490347362;8.243446333808425;8.411888181807159;8.593225852745103;8.782760913960852;8.983423357841707;9.336025046946599,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m058
scn3,pd_output_1_012,7.872719320306352;8.188559374299667;8.400872223812613;8.579311425409083;8.756161797083571;8.935821019512593;9.135187861301501;9.364998143379744;9.705155111137858,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m059
scn3,pd_output_1_024,9.85616467123572;10.24940227798633;10.466880532434661;10.720868654138242;10.934213096977224;11.135701750940813;11.357654695835404;11.685618976548273;12.107649570042012,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m060
scn3,pd_output_1_048,11.398301578588715;11.799066961883721;12.080947200384289;12.3251692054153;12.554302867413403;12.774627390020733;13.05752047207261;13.383377412646457;13.840061901921885,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m061
scn3,pd_output_1_072,11.933562829508999;12.325671478650962;12.601911388525306;12.870650231649673;13.113967505272896;13.358124290383607;13.607864210555457;13.980749410157863;14.463159270878462,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m062
scn3,pd_output_1_120,12.267470550147847;12.689134310748045;12.933036126082598;13.228600596834987;13.473089550452759;13.745610527694977;14.006620881337515;14.347625903838189;14.862890024109499,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m063
scn4,pd_output_1_000,4.420269727357661;4.586803635456025;4.7168855265587055;4.847954398135855;4.995640359890285;5.097056418852643;5.233740389186366;5.404004355199225;5.646962486335205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m064
scn4,pd_output_1_002,9.294227509859478;9.650027526031732;9.903945347409206;10.113880706860833;10.323127759828118;10.545451913109668;10.738530472089057;10.997848430677504;11.431241790428322,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m065
scn4,pd_output_1_004,10.101750986113826;10.479568957362197;10.724824226073373;10.98570886215027;11.17969858942122;11.407639962631707;11.641703967177943;11.917001783650193;12.368137715621948,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m066
scn4,pd_output_1_008,10.732870641348573;11.161815181085254;11.393317804782018;11.667983981090476;11.884550289822453;12.091819376548367;12.349136025152307;12.667016394704252;13.123648187404862,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m067
scn4,pd_output_1_012,11.03292207016079;11.470293786847378;11.705463377165293;11.976296336147293;12.200658493707962;12.412191604142896;12.677111183250462;13.006450154616326;13.443419501924181,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m068
scn4,pd_output_1_024,12.399306963854404;12.8176541777238;13.12423893273214;13.380202912492862;13.616083123159491;13.888994224585685;14.168533984128072;14.503186485090183;15.043045211228733,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m069
scn4,pd_output_1_048,13.039612793421034;13.497514526813017;13.771160025537405;14.058314866439941;14.291542898068503;14.62070968411737;14.915526507265938;15.248429799514515;15.8044774860756,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m070
scn4,pd_output_1_072,13.225934773735927;13.669332886634397;13.951248756116994;14.23101011020199;14.486235665962784;14.825899576352292;15.107717292696528;15.453342905741097;16.006582092645786,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m071
scn4,pd_output_1_120,13.342225430514322;13.776099213736448;14.063786097323556;14.341053278641075;14.605105743447517;14.946927138311805;15.227861002760482;15.582950617482435;16.146743989306525,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m072
