t,iter,drug_c,pd_output_1,scope,scenario
72.0,12,0.0,5.681868125824277,ode_,scn1
120.0,12,0.0,5.681868125824277,ode_,scn1
0.0,13,0.0,4.5271662263688945,ode_,scn1
2.0,13,0.0,4.5271662263688945,ode_,scn1
4.0,13,0.0,4.5271662263688945,ode_,scn1
8.0,13,0.0,4.5271662263688945,ode_,scn1
12.0,13,0.0,4.5271662263688945,ode_,scn1
24.0,13,0.0,4.5271662263688945,ode_,scn1
48.0,13,0.0,4.5271662263688945,ode_,scn1
72.0,13,0.0,4.5271662263688945,ode_,scn1
120.0,13,0.0,4.5271662263688945,ode_,scn1
0.0,14,0.0,5.878250288361362,ode_,scn1
2.0,14,0.0,5.878250288361362,ode_,scn1
4.0,14,0.0,5.878250288361362,ode_,scn1
8.0,14,0.0,5.878250288361362,ode_,scn1
12.0,14,0.0,5.878250288361362,ode_,scn1
24.0,14,0.0,5.878250288361362,ode_,scn1
48.0,14,0.0,5.878250288361362,ode_,scn1
72.0,14,0.0,5.878250288361362,ode_,scn1
120.0,14,0.0,5.878250288361362,ode_,scn1
0.0,15,0.0,5.496855883027282,ode_,scn1
2.0,15,0.0,5.496855883027282,ode_,scn1
4.0,15,0.0,5.496855883027282,ode_,scn1
8.0,15,0.0,5.496855883027282,ode_,scn1
12.0,15,0.0,5.496855883027282,ode_,scn1
24.0,15,0.0,5.496855883027282,ode_,scn1
48.0,15,0.0,5.496855883027282,ode_,scn1
72.0,15,0.0,5.496855883027282,ode_,scn1
120.0,15,0.0,5.496855883027282,ode_,scn1
0.0,16,0.0,4.636174532441626,ode_,scn1
2.0,16,0.0,4.636174532441626,ode_,scn1
4.0,16,0.0,4.636174532441626,ode_,scn1
8.0,16,0.0,4.636174532441626,ode_,scn1
12.0,16,0.0,4.636174532441626,ode_,scn1
24.0,16,0.0,4.636174532441626,ode_,scn1
48.0,16,0.0,4.636174532441626,ode_,scn1
72.0,16,0.0,4.636174532441626,ode_,scn1
120.0,16,0.0,4.636174532441626,ode_,scn1
0.0,17,0.0,4.999415789611964,ode_,scn1
2.0,17,0.0,4.999415789611964,ode_,scn1
4.0,17,0.0,4.999415789611964,ode_,scn1
8.0,17,0.0,4.999415789611964,ode_,scn1
12.0,17,0.0,4.999415789611964,ode_,scn1
24.0,17,0.0,4.999415789611964,ode_,scn1
48.0,17,0.0,4.999415789611964,ode_,scn1
72.0,17,0.0,4.999415789611964,ode_,scn1
120.0,17,0.0,4.999415789611964,ode_,scn1
0.0,18,0.0,5.621990334738786,ode_,scn1
2.0,18,0.0,5.621990334738786,ode_,scn1
4.0,18,0.0,5.621990334738786,ode_,scn1
8.0,18,0.0,5.621990334738786,ode_,scn1
12.0,18,0.0,5.621990334738786,ode_,scn1
24.0,18,0.0,5.621990334738786,ode_,scn1
48.0,18,0.0,5.621990334738786,ode_,scn1
72.0,18,0.0,5.621990334738786,ode_,scn1
120.0,18,0.0,5.621990334738786,ode_,scn1
0.0,19,0.0,3.930907110903415,ode_,scn1
2.0,19,0.0,3.930907110903415,ode_,scn1
4.0,19,0.0,3.930907110903415,ode_,scn1
8.0,19,0.0,3.930907110903415,ode_,scn1
12.0,19,0.0,3.930907110903415,ode_,scn1
24.0,19,0.0,3.930907110903415,ode_,scn1
48.0,19,0.0,3.930907110903415,ode_,scn1
72.0,19,0.0,3.930907110903415,ode_,scn1
120.0,19,0.0,3.930907110903415,ode_,scn1
0.0,20,0.0,5.789575057132883,ode_,scn1
2.0,20,0.0,5.789575057132883,ode_,scn1
4.0,20,0.0,5.789575057132883,ode_,scn1
8.0,20,0.0,5.789575057132883,ode_,scn1
12.0,20,0.0,5.789575057132883,ode_,scn1
24.0,20,0.0,5.789575057132883,ode_,scn1
48.0,20,0.0,5.789575057132883,ode_,scn1
72.0,20,0.0,5.789575057132883,ode_,scn1
120.0,20,0.0,5.789575057132883,ode_,scn1
0.0,21,0.0,4.423995903162567,ode_,scn1
2.0,21,0.0,4.423995903162567,ode_,scn1
4.0,21,0.0,4.423995903162567,ode_,scn1
8.0,21,0.0,4.423995903162567,ode_,scn1
12.0,21,0.0,4.423995903162567,ode_,scn1
24.0,21,0.0,4.423995903162567,ode_,scn1
48.0,21,0.0,4.423995903162567,ode_,scn1
72.0,21,0.0,4.423995903162567,ode_,scn1
120.0,21,0.0,4.423995903162567,ode_,scn1
