t,iter,drug_c,pd_output_1,scope,scenario
0.0,1,0.0,5.301256596045801,ode_,scn1
2.0,1,0.0,5.301256596045801,ode_,scn1
4.0,1,0.0,5.301256596045801,ode_,scn1
8.0,1,0.0,5.301256596045801,ode_,scn1
12.0,1,0.0,5.301256596045801,ode_,scn1
24.0,1,0.0,5.301256596045801,ode_,scn1
48.0,1,0.0,5.301256596045801,ode_,scn1
72.0,1,0.0,5.301256596045801,ode_,scn1
120.0,1,0.0,5.301256596045801,ode_,scn1
0.0,2,0.0,5.351766444640896,ode_,scn1
2.0,2,0.0,5.351766444640896,ode_,scn1
4.0,2,0.0,5.351766444640896,ode_,scn1
8.0,2,0.0,5.351766444640896,ode_,scn1
12.0,2,0.0,5.351766444640896,ode_,scn1
24.0,2,0.0,5.351766444640896,ode_,scn1
48.0,2,0.0,5.351766444640896,ode_,scn1
72.0,2,0.0,5.351766444640896,ode_,scn1
120.0,2,0.0,5.351766444640896,ode_,scn1
0.0,3,0.0,4.492346959915116,ode_,scn1
2.0,3,0.0,4.492346959915116,ode_,scn1
4.0,3,0.0,4.492346959915116,ode_,scn1
8.0,3,0.0,4.492346959915116,ode_,scn1
12.0,3,0.0,4.492346959915116,ode_,scn1
24.0,3,0.0,4.492346959915116,ode_,scn1
48.0,3,0.0,4.492346959915116,ode_,scn1
72.0,3,0.0,4.492346959915116,ode_,scn1
120.0,3,0.0,4.492346959915116,ode_,scn1
0.0,4,0.0,4.236767168154459,ode_,scn1
2.0,4,0.0,4.236767168154459,ode_,scn1
4.0,4,0.0,4.236767168154459,ode_,scn1
8.0,4,0.0,4.236767168154459,ode_,scn1
12.0,4,0.0,4.236767168154459,ode_,scn1
24.0,4,0.0,4.236767168154459,ode_,scn1
48.0,4,0.0,4.236767168154459,ode_,scn1
72.0,4,0.0,4.236767168154459,ode_,scn1
120.0,4,0.0,4.236767168154459,ode_,scn1
0.0,5,0.0,5.24088409817146,ode_,scn1
2.0,5,0.0,5.24088409817146,ode_,scn1
4.0,5,0.0,5.24088409817146,ode_,scn1
8.0,5,0.0,5.24088409817146,ode_,scn1
12.0,5,0.0,5.24088409817146,ode_,scn1
24.0,5,0.0,5.24088409817146,ode_,scn1
48.0,5,0.0,5.24088409817146,ode_,scn1
72.0,5,0.0,5.24088409817146,ode_,scn1
120.0,5,0.0,5.24088409817146,ode_,scn1
0.0,6,0.0,5.219054446766315,ode_,scn1
2.0,6,0.0,5.219054446766315,ode_,scn1
4.0,6,0.0,5.219054446766315,ode_,scn1
8.0,6,0.0,5.219054446766315,ode_,scn1
12.0,6,0.0,5.219054446766315,ode_,scn1
24.0,6,0.0,5.219054446766315,ode_,scn1
48.0,6,0.0,5.219054446766315,ode_,scn1
72.0,6,0.0,5.219054446766315,ode_,scn1
120.0,6,0.0,5.219054446766315,ode_,scn1
0.0,7,0.0,5.863391912345548,ode_,scn1
2.0,7,0.0,5.863391912345548,ode_,scn1
4.0,7,0.0,5.863391912345548,ode_,scn1
8.0,7,0.0,5.863391912345548,ode_,scn1
12.0,7,0.0,5.863391912345548,ode_,scn1
24.0,7,0.0,5.863391912345548,ode_,scn1
48.0,7,0.0,5.863391912345548,ode_,scn1
72.0,7,0.0,5.863391912345548,ode_,scn1
120.0,7,0.0,5.863391912345548,ode_,scn1
0.0,8,0.0,4.883928933400051,ode_,scn1
2.0,8,0.0,4.883928933400051,ode_,scn1
4.0,8,0.0,4.883928933400051,ode_,scn1
8.0,8,0.0,4.883928933400051,ode_,scn1
12.0,8,0.0,4.883928933400051,ode_,scn1
24.0,8,0.0,4.883928933400051,ode_,scn1
48.0,8,0.0,4.883928933400051,ode_,scn1
72.0,8,0.0,4.883928933400051,ode_,scn1
120.0,8,0.0,4.883928933400051,ode_,scn1
0.0,9,0.0,5.03807059393212,ode_,scn1
2.0,9,0.0,5.03807059393212,ode_,scn1
4.0,9,0.0,5.03807059393212,ode_,scn1
8.0,9,0.0,5.03807059393212,ode_,scn1
12.0,9,0.0,5.03807059393212,ode_,scn1
24.0,9,0.0,5.03807059393212,ode_,scn1
48.0,9,0.0,5.03807059393212,ode_,scn1
72.0,9,0.0,5.03807059393212,ode_,scn1
120.0,9,0.0,5.03807059393212,ode_,scn1
0.0,10,0.0,4.633999680456027,ode_,scn1
2.0,10,0.0,4.633999680456027,ode_,scn1
4.0,10,0.0,4.633999680456027,ode_,scn1
8.0,10,0.0,4.633999680456027,ode_,scn1
12.0,10,0.0,4.633999680456027,ode_,scn1
24.0,10,0.0,4.633999680456027,ode_,scn1
48.0,10,0.0,4.633999680456027,ode_,scn1
72.0,10,0.0,4.633999680456027,ode_,scn1
120.0,10,0.0,4.633999680456027,ode_,scn1
0.0,11,0.0,5.89562756249658,ode_,scn1
2.0,11,0.0,5.89562756249658,ode_,scn1
4.0,11,0.0,5.89562756249658,ode_,scn1
8.0,11,0.0,5.89562756249658,ode_,scn1
12.0,11,0.0,5.89562756249658,ode_,scn1
24.0,11,0.0,5.89562756249658,ode_,scn1
48.0,11,0.0,5.89562756249658,ode_,scn1
72.0,11,0.0,5.89562756249658,ode_,scn1
120.0,11,0.0,5.89562756249658,ode_,scn1
0.0,12,0.0,5.051082178381237,ode_,scn1
2.0,12,0.0,5.051082178381237,ode_,scn1
4.0,12,0.0,5.051082178381237,ode_,scn1
8.0,12,0.0,5.051082178381237,ode_,scn1
12.0,12,0.0,5.051082178381237,ode_,scn1
24.0,12,0.0,5.051082178381237,ode_,scn1
48.0,12,0.0,5.051082178381237,ode_,scn1
